scenario,top1_acc,top3_acc
boston5g_3p5,0.14989344059447104,0.36372247212254377
city_6_miami_3p5,ok,96,65819,16487,64,2.6188370964618737,0.27443443382700444,0.514441118821343,4.12438220839536,0.10529508100180973,0.24067447085301596,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_6_miami_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (65843, 1, 8, 32)"
city_6_miami_3p5,ok,45,65843,11924,64,1.5470582890235,0.5142384156395315,0.7780933432658848,2.232678059722225,0.42938611205293603,0.6770379067626986,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_7_sandiego_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_7_sandiego_3p5,ok,86,54354,13585,64,2.59153352887547,0.2716635390186773,0.5254995032366913,4.410530793074522,0.08708133971291866,0.2155318365850166,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_7_sandiego_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (53476, 1, 8, 32)"
city_7_sandiego_3p5,ok,10,53476,8243,64,2.0103332868857535,0.3775338469304039,0.649020121126812,2.410897107316961,0.3015892272429835,0.5810991145447159,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_8_dallas_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_8_dallas_3p5,ok,60,73761,18590,64,2.629279205842125,0.3020701997034724,0.5220238337284252,4.521865300531988,0.11672942443616036,0.20952124800523036,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_8_dallas_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (73130, 1, 8, 32)"
city_8_dallas_3p5,ok,37,73130,15325,64,2.144625189309894,0.3801859701917026,0.5987829891907994,3.091090576271443,0.26871125610481467,0.46845024461652873,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_9_sanfrancisco_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_9_sanfrancisco_3p5,ok,88,49377,12298,64,2.5518053665455094,0.2861858760136398,0.543228628663074,4.773747303870116,0.08554236461213205,0.20060172385996117,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_9_sanfrancisco_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (48923, 1, 8, 32)"
city_9_sanfrancisco_3p5,ok,40,48923,6495,64,1.7282634675179918,0.47961081700423164,0.7235042822382192,2.6617428649288586,0.31562740594905736,0.5294842190610344,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
boston5g_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
boston5g_3p5,ok,100,84882,21115,64,1.5902109243528173,0.4679319525972247,0.7862562145053412,3.686158027779906,0.14989344059447104,0.36372247212254377,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_16_sanfrancisco_3p5_lwm,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_16_sanfrancisco_3p5_lwm,ok,4,34255,8616,64,3.163965888044953,0.12976207854042712,0.319486206441078,4.010930512498238,0.06870937790157845,0.1737465181888644,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_19_oklahoma_3p5_s,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_19_oklahoma_3p5_s,ok,73,69274,17444,64,1.5595728521875412,0.5208158905199756,0.7904552934757401,6.406583345146853,0.09246732400910922,0.22964916304625166,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
